crop_cd	crop_nm	prop_acidl	prop_acidh	prop_oml	prop_omh	prop_phal	prop_phah	prop_kl	prop_kh	prop_cal	prop_cah	prop_mgl	prop_mgh	prop_cecl	prop_cech	prop_selcl	prop_selch	crop_gbn	del_yn	del_ymd	crop_seqno	userin	prop_nol	prop_noh	prop_sil	prop_sih		
00235	영아자(시설)	6	6.5	2.5	3.5	400	500	0.7	0.8	5	6	1.5	2	10	15	0	2	08	N		0	N						
00236	산마늘(시설)	6	6.5	2.5	3.5	400	500	0.7	0.8	5	6	1.5	2	10	15	0	2	08	N		0	N						
00237	"유자(화산회토,5년)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N		0	N						
00238	"유자(화산회토,10년)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N		0	N						
00239	"유자(화산회토,15년)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N		0	N						
00240	"유자(화산회토,20년)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N		0	N						
00241	"유자(비화산회토,5년)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N		0	N						
00242	"유자(비화산회토,10년)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N		0	N						
00243	"유자(비화산회토,15년)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N		0	N						
00244	"유자(비화산회토,20년)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N		0	N						
00245	작약(1년)	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N		0	N						
00246	작약(2년)	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N		0	N						
00247	작약(3년)	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N		0	N						
00248	홍화	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N		0	N						
00249	당귀	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N		0	N						
00250	일천궁	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N		0	N						
00251	지황(신품종)	6	6.5	2.5	3.5	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N		0	N						
00252	참깨(2모작지)	6	6.5	2	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	02	N		3	N						
00300	벼(1모작)	5.5	6.5	2.5	3	80	120	0.25	0.3	5	6	1.5	2	10	15	0	2	01	Y		24	N			130	180		
00301	벼(2모작)	5.5	6.5	2.5	3	80	120	0.25	0.3	5	6	1.5	2	10	15	0	2	01	N		18	N			130	180		
00302	"벼(모래논,고논)"	5.5	6.5	2.5	3	80	120	0.25	0.3	5	6	1.5	2	10	15	0	2	01	N		19	N			130	180		
00303	"벼(중간지,냉조풍지)"	5.5	6.5	2.5	3	80	120	0.25	0.3	5	6	1.5	2	10	15	0	2	01	N		20	N			130	180		
00304	벼(산간고냉지)	5.5	6.5	2.5	3	80	120	0.25	0.3	5	6	1.5	2	10	15	0	2	01	N		21	N			130	180		
00305	벼(염해지)	5.5	6.5	2.5	3	80	120	0.25	0.3	5	6	1.5	2	10	15	0	2	01	N		2	N			130	180		
00306	보리(중북부)	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5			0	2	01	N		22	N						
00307	보리(남부)	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5			0	2	01	N		23	N						
00308	"감귤(18년생 이상, 화산회토)"	5.5	6.5	10.1	15	200	300	0.5	1.3	5	6	1.5	2	10	15	0	2	09	N			N						
00309	"감귤(18년생 이상, 비화산회토)"	5.5	6.5	2.1	5	200	300	0.5	0.7	5	6	1.5	2	10	15	0	2	09	N			N						
00310	미나리															0	2	13	Y			N						
00311	강낭콩															0	2	13	Y			N						
00313	메밀	6	7	2	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	01	Y	20070305		Y						
00314	대추(1년)	6	6.5	2.5	3.5	300	400	0.4	0.8	4	7	1	2	10	15	0	2	09	Y			N						
00315	땅두릅															0	2	13	Y			N						
00316	자두(1-2년)	6	6.5	2.5	3.5	300	500	0.4	0.8	4	7	1	2	10	15	0	2	09	Y			N						
00317	멜론(시설재배)	6	6.5	2.5	3.5	350	450	0.7	0.8	5	6	1.5	2	10	15	0	2	04	N			N	50	150				
00318	도라지	6	6.5	2	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N			N						
00319	담배															0	2	12	Y			N						
00320	잎담배															0	2	12	Y			N						
00321	단무지															0	2	13	Y			N						
00323	토란	6	6.5	3	5	350	450	0.6	0.7	5	6	1.5	2	10	15	0	2	05	Y			N						
00324	들깨															0	2	13	Y			N						
00325	달래															0	2	13	Y			N						
00326	대마															0	2	13	Y			N						
00327	두충나무															0	2	13	Y			N						
00328	느티나무															0	2	13	Y			N						
00329	취나물															0	2	13	Y			N						
00330	나리	6	7	2.5	3.5	340	500	0.7	1	5	7	1.5	2.5	10	15	0	3	11	N			N						
00331	미역취(시설재배)	6	6.5	2.5	3.5	400	500	0.7	0.8	5	6	1.5	2	10	15	0	2	08	N			N						
00332	황금	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	10	N			N						
00333	매실(1~2년)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00334	매실(3~4년)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00335	매실(5~6년)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00336	매실(7~8년)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00337	매실(9년 이상)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
00338	인삼(예정지)-논	5	6	1	2	50	150	0.2	0.6	3	5	1	2			0	0.5	13	Y	20070214	0	Y		50				
00339	갓	6	6.5	2.5	3.5	350	450	0.65	0.8	5	6	1.5	2	10	15	0	2	07	Y	20070305	0	Y						
00340	고사리(1-2년)	5.5	6.5	2.5	3.5	400	500	0.7	0.8	3.5	6	1.5	2	10	15	0	2	08	Y	20070305	0	Y						
00341	곤드레																	13	Y	20070305	0	Y						
00342	구아바																	13	Y	20070305	0	Y						
00343	근대																	13	Y	20070305	0	Y						
00344	기장																	13	Y	20070305	0	Y						
00345	다래																	13	Y	20070305	0	Y						
00346	돗나물																	13	Y	20070305	0	Y						
00347	두릅																	13	Y	20070305	0	Y						
00348	둥글레																	13	Y	20070305	0	Y						
00349	마	6	6.5	2	3	250	350	0.5	0.6	5	6	1.5	2	10	15	0	2	10	Y	20070305	0	Y						
00350	무화과(1-2년)	6	6.5	2.5	3.5	300	400	0.4	0.8	4	7	1	2	10	15	0	2	09	Y	20070305	0	Y						
00351	블루베리(1-2년)	4.5	5.2	3	4.5	300	550	0.5	0.8	5	6	1.5	2			0	1	09	Y	20070305	0	Y						
00352	산딸기																	13	Y	20070305	0	Y						
00353	산머루																	13	Y	20070305	0	Y						
00354	산수유	5.5	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15			13	Y	20070305	0	Y						
00355	석류																	13	Y	20070305	0	Y						
00356	수수	6.5	7	2	3	150	250	0.45	0.55	6	7	6	7	10	15			13	Y	20070305	0	Y						
00357	아스파라가스																	13	Y	20070305	0	Y						
00358	알로에																	13	Y	20070305	0	Y						
00359	애호박																	13	Y	20070305	0	Y						
00360	야콘	6	7	2	3	300	550	0.5	0.8	5	6	1.5	2	10	15	0	2	13	Y	20070305	0	Y						
00361	양앵두																	13	Y	20070305	0	Y						
00362	어수리																	13	Y	20070305	0	Y						
00363	연																	13	Y	20070305	0	Y						
00364	오가피																	13	Y	20070305	0	Y						
00365	오미자(1년)	6	6.5	2	3	200	600	0.4	0.7	3	6	1	2	15	20			10	Y	20070305	0	Y						
00366	장군차																	13	Y	20070305	0	Y						
00367	조	6	7	2	3	150	250	0.45	0.55	6	7	6	7	10	15			13	Y	20070305	0	Y						
00368	쪽파(노지)	6	6.5	2	3	300	400	0.4	0.6	5	6	1.5	2	10	15	0	2	07	Y	20070305	0	Y						
00369	철쭉																	13	Y	20070305	0	Y						
00370	파인애플																	13	Y	20070305	0	Y						
00371	팥	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15			1	Y	20070305	0	Y						
01001	밭벼제주(화산)노지	6	6.5	11	13	80	120	0.25	0.3	5	6	1.5	2	10	15		2	1	N			N						
01002	밭벼제주(비화산)노지	6	6.5	3	5	80	120	0.25	0.3	5	6	1.5	2	10	15		2	1	N			N						
01003	배추(화산회토)	6	6.5	11	15	400	500	0.7	0.8	5	6	1.5	2	10	15		2	2	N			N						
01004	배추(비화산회토)	6	6.5	3	5	400	500	0.7	0.8	5	6	1.5	2	10	15		2	2	N			N						
01005	보리제주(화산)노지	6.5	7	11	13	150	250	0.45	0.55	6	7	2	2.5	10	15		2	2	N			N						
01006	보리제주(비화산)노지	6.5	7	3	5	150	250	0.45	0.55	6	7	2	2.5	10	15		2	2	N			N						
01007	대두제주(화산)노지	6.5	7	11	13	150	250	0.45	0.55	6	7	2	2.5	10	15		2	2	N			N						
01008	대두제주(비화산)노지	6.5	7	3	5	150	250	0.45	0.55	6	7	2	2.5	10	15		2	2	N			N						
01009	고구마제주(화산)노지	6	6.5	11	13	150	250	0.6	0.7	5	6	1.5	2	10	15		2	2	N			N						
01010	고구마제주(비산)노지	6	6.5	3	5	150	250	0.6	0.7	5	6	1.5	2	10	15		2	2	N			N						
01011	감자제주(봄겨울)화산	5.5	6	11	13	150	250	0.6	0.7	5	6	1.5	2	10	15		2	2	N			N						
01012	감자제주(가을)비화산	5.5	6	3	5	150	250	0.6	0.7	5	6	1.5	2	10	15		2	2	N			N						
01013	참깨제주(화산)노지	6	6.5	11	13	150	250	0.45	0.55	5	6	1.5	2	10	15		2	2	N			N						
01014	참깨제주(비화산)노지	6	6.5	3	5	150	250	0.45	0.55	5	6	1.5	2	10	15		2	2	N			N						
01015	땅콩제주(화산)노지	6	6.5	11	13	150	250	0.45	0.85	6	7	1.5	2	10	15		2	2	N			N						
01016	땅콩제주(비화산)노지	6	6.5	3	5	150	250	0.45	0.85	6	7	1.5	2	10	15		2	2	N			N						
01017	감자제주(봄겨울)비화산	5.5	6	3	5	150	250	0.6	0.7	5	6	1.5	2	10	15		2	2	N			N						
01018	감자제주(가을)화산	5.5	6	11	13	150	250	0.6	0.7	5	6	1.5	2	10	15		2	2	N			N						
01019	유채제주(화산)노지	6	6.5	11	13	150	250	0.45	0.85	6	7	1.5	2	10	15		2	2	N			N						
01020	유채제주(비화산)노지	6	6.5	3	5	150	250	0.45	0.85	6	7	1.5	2	10	15		2	2	N			N						
01021	마늘제주(화산)노지	6.5	7	11	15	300	400	0.7	0.8	6	7	2	2.5	10	15		2	2	N			N						
01022	마늘제주(비화산)노지	6.5	7	3	5	300	400	0.7	0.8	6	7	2	2.5	10	15		2	2	N			N						
01023	배추제주(화산)노지	6	6.5	11	15	400	500	0.7	0.8	5	6	1.5	2	10	15		2	2	N			N						
01024	배추제주(비화산)노지	6	6.5	3	5	400	500	0.7	0.8	5	6	1.5	2	10	15		2	2	N			N						
01025	당근제주(화산)노지	6	6.5	11	13	350	450	0.7	0.8	5	6	1.5	2	10	15		2	2	N			N						
01026	당근제주(비화산)노지	6	6.5	3	5	350	450	0.7	0.8	5	6	1.5	2	10	15		2	2	N			N						
01027	무제주(화산)노지	6	6.5	11	13	350	450	0.7	0.8	5	6	1.5	2	10	15		2	2	N			N						
01028	무제주(비화산)노지	6	6.5	3	5	350	450	0.7	0.8	5	6	1.5	2	10	15		2	2	N			N						
01029	양파제주(봄)화산노지	6	6.5	11	15	350	450	0.5	0.6	5	6	1.5	2	10	15		2	2	N			N						
01030	양파제주(봄)비화산노지	6	6.5	3	5	350	450	0.6	0.7	5	6	1.5	2	10	15		2	2	N			N						
01031	양파제주(가을)화산	6	6.5	11	15	350	450	0.5	0.6	5	6	1.5	2	10	15		2	2	N			N						
01032	양파제주(가을)비화산	6	6.5	3	5	350	450	0.5	0.6	5	6	1.5	2	10	15		2	2	N			N						
01033	땅콩제주(2모작)화산	6	6.5	11	13	150	250	0.45	0.85	6	7	1.5	2	10	15		2	2	N			N						
01034	땅콩제주(2모작)비화산	6	6.5	3	5	150	250	0.45	0.85	6	7	1.5	2	10	15		2	2	N			N						
01035	감귤(화산)5년(성목기준)	5.5	6.5	11	15	200	300	0.5	0.7	5	6	1.5	2	10	15		2	4	N			N						
01036	감귤(화산)10년(성목기준)	5.5	6.5	11	15	200	300	0.5	0.7	5	6	1.5	2	10	15		2	4	N			N						
01037	감귤(화산)15년(성목기준)	5.5	6.5	11	15	200	300	0.5	0.7	5	6	1.5	2	10	15		2	4	N			N						
01038	감귤(화산)20년(성목기준)	5.5	6.5	11	15	200	300	0.5	0.7	5	6	1.5	2	10	15		2	4	N			N						
01039	감귤(비화산)5년(성목기준)	5.5	6.5	3	5	200	300	0.5	0.7	5	6	1.5	2	10	15		2	4	N			N						
01040	감귤(비화산)10년(성목기준)	5.5	6.5	3	5	200	300	0.5	0.7	5	6	1.5	2	10	15		2	4	N			N						
01041	감귤(비화산)15년(성목기준)	5.5	6.5	3	5	200	300	0.5	0.7	5	6	1.5	2	10	15		2	4	N			N						
01042	감귤(비화산)20년(성목기준)	5.5	6.5	3	5	200	300	0.5	0.7	5	6	1.5	2	10	15		2	4	N			N						
02001	자두(시설)																		N									
02002	토란(시설)	6	6.5	3	5	350	450	0.6	0.7	5	6	1.5	2	10	15	0	2	13	Y			N						
02003	갓(시설)																		N									
02004	곤드레(시설)																		N									
02005	구아바(시설)																		N									
02006	근대(시설)																		N									
02007	다래(시설)																		N									
02008	돗나물(시설)																		N									
02009	두릅(시설)																		N									
02010	무화과(시설)																		N									
02011	블루베리(시설)																		N									
02012	산딸기(시설)																		N									
02013	석류(시설)																		N									
02014	아스파라가스(시설)																		N									
02015	애호박(시설)																		N									
02016	야콘(시설)																		N									
02017	쪽파(시설)	6	6.5	2	3	300	400	0.4	0.6	5	6	1.5	2	10	15	0	2	07	N				50	150				
02018	철쭉(시설)																		N									
02019	파인애플(시설)																		N									
02020	복분자(1년생)	5.5	6.5	3	4	200	500	0.8	1.2	4	6	1	2	10	20				N									
02021	복분자(2년생이상)	5.5	6.5	3	4	200	500	0.8	1.2	4	6	1	2	10	20				N									
02023	"밀(사질~사양질,중북부)도복강"	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15	0	2		N			N						
02024	들깨(종실용)	6	6.5	2	3	250	350	0.4	0.6	5	6	1.5	2	10	15	0	2		N			N						
02025	"감자(준고랭지,고랭지)"	5.5	6.2	2	3	150	250	0.5	0.6	4.5	5.5	1.5	2	10	15	0	2	03	N			N						
02026	고추(밀식)	6	6.5	2.5	3.5	450	550	0.7	0.8	5	6	1.5	2	10	15	0	2	04	N			N						
02027	당근(평난지)	6	6.5	2	3	250	350	0.55	0.65	5	6	1.5	2	10	15	0	2	05	N			N						
02028	"당근(준고랭지,고랭지)"	6	6.5	2	3	250	350	0.55	0.65	5	6	1.5	2	10	15	0	2	05	N			N						
02029	"무(준고랭지,고랭지)"	6	6.5	2	3	350	450	0.6	0.7	5	6	1.5	2	10	15	0	2	05	N			N						
02030	연근	6	6.5	2	3	350	450	0.6	0.7	5	6	1.5	2	10	15	0	2	05	Y			N						
02031	우엉	6	6.5	1	2	200	300	0.6	0.7	5	6	1.5	2	10	15	0	2	05	Y			N						
02032	"양파(준고랭지,고랭지)"	6	6.5	2.5	3.5	350	450	0.7	0.8	6	7	2	2.5	10	15	0	2	06	N			N						
02033	"배추(준고랭지,고랭지)"	6	6.5	2.5	3.5	350	450	0.65	0.8	5	6	1.5	2	10	15	0	2	07	N			N						
02034	대파(노지)	6	6.5	2	3	300	400	0.4	0.6	5	6	1.5	2	10	15	0	2	07	N			N						
02035	대파(시설)	6	6.5	2	3	300	400	0.4	0.6	5	6	1.5	2	10	15	0	2	07	N			N	50	150				
02036	치커리(노지)	6	6.5	2.5	3.5	350	450	0.7	0.8	5	6	1.5	2	10	15	0	2	07	N			N						
02037	청경채(시설)	6	6.5	2.5	3.5	350	450	0.6	0.7	5	6	1.5	2	10	15	0	2	07					20	200				
02038	아욱(시설)	6	6.5	2.5	3.5	350	450	0.6	0.7	5	6	1.5	2	10	15	0	2	07					20	200				
02047	고사리(3년이상)	5.5	6.5	2.5	3.5	400	500	0.7	0.8	3.5	6	1.5	2	10	15	0	2	08	Y		0	Y						
02048	눈개승마(삼나물)	6	6.5	2.5	3.5	450	550	0.7	0.8	5	6	1.5	2	10	15	0	2	08	Y		0	Y						
02049	민들레(직파)	6	6.5	2.5	3.5	450	550	0.7	0.8	5	6	1.5	2	10	15	0	2	08	Y		0	Y						
02050	흰민들레(육묘이식)	6	6.5	2.5	3.5	450	550	0.7	0.8	5	6	1.5	2	10	15	0	2	08	Y		0	Y						
02051	고려엉겅퀴(곤드레나물)	6	6.5	2.5	3.5	450	550	0.7	0.8	5	6	1.5	2	10	15	0	2	08	Y		0	Y						
02052	"사과(1-4년,비옥지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02053	"사과(5-9년,비옥지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02054	"사과(10-14년,비옥지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02055	"사과(15-19년,비옥지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02056	"사과(20년이상, 비옥지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02057	"사과(1-4년,척박지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02058	"사과(5-9년,척박지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02059	"사과(10-14년,척박지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02060	"사과(15-19년,척박지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02061	"사과(20년이상, 척박지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02062	"배(1-4년,비옥지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02063	"배(5-9년,비옥지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02064	"배(10-14년,비옥지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02065	"배(15-19년,비옥지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02066	"배(20년이상, 비옥지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02067	"배(1-4년,척박지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02068	"배(5-9년,척박지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02069	"배(10-14년,척박지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02070	"배(15-19년,척박지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02071	"배(20년이상, 척박지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02072	"포도(1-2년,비옥지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02073	"포도(3-4년,비옥지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02074	"포도(5-10년,비옥지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02075	"포도(11년이상,비옥지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02076	"포도(1-2년,척박지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02077	"포도(3-4년,척박지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02078	"포도(5-10년,척박지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02079	"포도(11년이상,척박지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02080	"복숭아(1-2년,비옥지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02081	"복숭아(3-4년,비옥지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02082	"복숭아(5-10년,비옥지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02083	"복숭아(11년이상,비옥지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02084	"복숭아(1-2년,척박지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02085	"복숭아(3-4년,척박지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02086	"복숭아(5-10년,척박지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02087	"복숭아(11년이상,척박지)"	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	N			N						
02088	대추(2년)	6	6.5	2.5	3.5	300	400	0.4	0.8	4	7	1	2	10	15	0	2	09	N			N						
02089	대추(3년)	6	6.5	2.5	3.5	300	400	0.4	0.8	4	7	1	2	10	15	0	2	09	N			N						
02090	대추(4년)	6	6.5	2.5	3.5	300	400	0.4	0.8	4	7	1	2	10	15	0	2	09	N			N						
02091	대추(5년)	6	6.5	2.5	3.5	300	400	0.4	0.8	4	7	1	2	10	15	0	2	09	N			N						
02092	대추(6년이상)	6	6.5	2.5	3.5	300	400	0.4	0.8	4	7	1	2	10	15	0	2	09	N			N						
02093	참다래(1년)	6	6.5	2.5	3.5	300	500	0.5	0.8	5	7	1.5	2	10	15	0	2	09	N			N						
02094	참다래(2년)	6	6.5	2.5	3.5	300	500	0.5	0.8	5	7	1.5	2	10	15	0	2	09	N			N						
02095	참다래(3년)	6	6.5	2.5	3.5	300	500	0.5	0.8	5	7	1.5	2	10	15	0	2	09	N			N						
02096	참다래(4년)	6	6.5	2.5	3.5	300	500	0.5	0.8	5	7	1.5	2	10	15	0	2	09	N			N						
02097	참다래(5년)	6	6.5	2.5	3.5	300	500	0.5	0.8	5	7	1.5	2	10	15	0	2	09	N			N						
02098	참다래(6년)	6	6.5	2.5	3.5	300	500	0.5	0.8	5	7	1.5	2	10	15	0	2	09	N			N						
02099	참다래(7년)	6	6.5	2.5	3.5	300	500	0.5	0.8	5	7	1.5	2	10	15	0	2	09	N			N						
02100	"참다래(8년이상,성목)"	6	6.5	2.5	3.5	300	500	0.5	0.8	5	7	1.5	2	10	15	0	2	09	N			N						
02101	자두(3-4년)	6	6.5	2.5	3.5	300	500	0.4	0.8	4	7	1	2	10	15	0	2	09	Y			N						
02102	자두(5-6년)	6	6.5	2.5	3.5	300	500	0.4	0.8	4	7	1	2	10	15	0	2	09	Y			N						
02103	자두(7-8년)	6	6.5	2.5	3.5	300	500	0.4	0.8	4	7	1	2	10	15	0	2	09	Y			N						
02104	자두(9년이상)	6	6.5	2.5	3.5	300	500	0.4	0.8	4	7	1	2	10	15	0	2	09	Y			N						
02105	무화과(3-4년)	6	6.5	2.5	3.5	300	400	0.4	0.8	4	7	1	2	10	15	0	2	09	Y	20070305	0	Y						
02106	무화과(5-6년)	6	6.5	2.5	3.5	300	400	0.4	0.8	4	7	1	2	10	15	0	2	09	Y	20070305	0	Y						
02107	무화과(7-9년)	6	6.5	2.5	3.5	300	400	0.4	0.8	4	7	1	2	10	15	0	2	09	Y	20070305	0	Y						
02108	무화과(10년이상)	6	6.5	2.5	3.5	300	400	0.4	0.8	4	7	1	2	10	15	0	2	09	Y	20070305	0	Y						
02109	살구(1-2년)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	Y	20070305	0	Y						
02110	살구(3-4년)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	Y	20070305	0	Y						
02111	살구(5-7년)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	Y	20070305	0	Y						
02112	살구(8-10년)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	Y	20070305	0	Y						
02113	살구(11년이상)	6	6.5	2.5	3.5	200	300	0.3	0.6	5	6	1.5	2	10	15	0	2	09	Y	20070305	0	Y						
02114	블루베리(3-4년)	4.5	5.2	3	4.5	300	550	0.5	0.8	5	6	1.5	2			0	1	09	Y	20070305	0	Y						
02115	블루베리(5-6년)	4.5	5.2	3	4.5	300	550	0.5	0.8	5	6	1.5	2			0	1	09	Y	20070305	0	Y						
02116	블루베리(7년)	4.5	5.2	3	4.5	300	550	0.5	0.8	5	6	1.5	2			0	1	09	Y	20070305	0	Y						
02117	블루베리(8년이상)	4.5	5.2	3	4.5	300	550	0.5	0.8	5	6	1.5	2			0	1	09	Y	20070305	0	Y						
02118	오미자(2년)	6	6.5	2	3	200	600	0.4	0.7	3	6	1	2	15	20			10	Y	20070305	0	Y						
02119	오미자(3년이상)	6	6.5	2	3	200	600	0.4	0.7	3	6	1	2	15	20			10	Y	20070305	0	Y						
02120	삼백초	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15			10	Y	20070305	0	Y						
02121	어성초	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15			10	Y	20070305	0	Y						
02122	엉겅퀴	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15			10	Y	20070305	0	Y						
02123	더위지기(인진쑥)	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15			10	Y	20070305	0	Y						
02124	결명자	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15			10	Y	20070305	0	Y						
02125	식방풍(뿌리수확용)	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15			10	Y	20070305	0	Y						
02126	식방풍(잎수확용)	6	6.5	2.5	3	150	250	0.45	0.55	5	6	1.5	2	10	15			10	Y	20070305	0	Y						
02127	목초(관리용-방목조치)	6	7	2.5	3.5	200	500	0.3	0.6	5	6	1.5	2	10	15	0	2	12	N			N						
